Unnamed: 0,City,Claim,Tweet,Latitude,Longitude,User,Timestamp,Stance,Category,State,Verdict
1,San Bernardino,Immigrants are helping Democrats steal the election,"And here it is,
The Border State of Arizona CONFIRMS the US invasion,

10,000 illegals using the same exact SS number voted in the Nov 3, 2020 election with 420,987 mail in ballots to have NO SIGNATURE match. JUST IN MARICOPA COUNTY.

📝Damn right the State of Texas has standing https://t.co/YmDnQsLt57",34.1083,-117.2898,🇺🇸RealRobert🇺🇸,Sat Jan 27 02:46:42 +0000 2024,Positive,['Elections'],California,FALSE
3,San Bernardino,Immigrants are helping Democrats steal the election,"This Is Your Reminder Democrats Are Importing Illegal Migrant Voters &amp; Flying Them All Over The Country To Rig The 2024 Election

Journalist Brooker Tee Jones “San Diego, California. You see that white bus behind me. That bus just got loaded up with illegal migrants that had came https://t.co/6lJ9z86AvK",34.1083,-117.2898,Wall Street Apes,Wed Aug 14 21:43:46 +0000 2024,Positive,['Elections'],California,FALSE
4,San Bernardino,Immigrants are helping Democrats steal the election,"ELECTION INTERFERENCE - The Police were called to a house in Wales by Illegal migrants (housed in a council house, acquired by the home office) because &lt;checks notes&gt; … er

The migrants don’t like the Vote Reform poster on next doors house.

And the Police actually attended 🤡 https://t.co/dzIw6OoyCx",34.1083,-117.2898,Bernie,Thu Jun 27 06:15:29 +0000 2024,Positive,['Elections'],California,FALSE
5,San Bernardino,Immigrants are helping Democrats steal the election,"And here it is,

It is officially over for the election fraud deniers across all 50 states, 

+ 10,000 illegal aliens registered as Democrats using the same exact Social Security number voted in the Nov 3, 2020 election, and this is just in the border state of Arizona. 

📝U.S. https://t.co/stshCEWFmw",34.1083,-117.2898,🇺🇸RealRobert🇺🇸,Thu Jul 18 15:30:56 +0000 2024,Positive,['Elections'],California,FALSE
8,San Bernardino,Immigrants are helping Democrats steal the election,"🚨🚨BREAKING: 

According to official data, over 10,000 illegal aliens registered as Democrats with IDENTICAL Social Security numbers voted in the Arizona 2020 General elections, thus overthrowing the United States government.

Orchestrated by Katie Hobbs and carried out by https://t.co/bQGvaLnfBy",34.1083,-117.2898,🇺🇸RealRobert🇺🇸,Sat Aug 17 23:40:18 +0000 2024,Positive,['Elections'],California,FALSE
9,San Bernardino,Immigrants are helping Democrats steal the election,"🚨🚨🚨The time has come, 

It is officially over for the election fraud deniers in all 50 states across America. 

Katie Hobbs and Adrian Fontes registered +10,000 illegals as Democrats using the same exact Social Security number voted in the Nov 3, 2020 election, thus https://t.co/ZoCk2n4xVv",34.1083,-117.2898,🇺🇸RealRobert🇺🇸,Fri Aug 16 19:05:32 +0000 2024,Positive,['Elections'],California,FALSE
13,San Bernardino,Immigrants are helping Democrats steal the election,"Jovan Pulitzer explaining in full detail how Sinaloa Cartel’s Secretary of State @katiehobbs stole two elections 10,000 illegal aliens using the same social security number voted on November 3, 2020. If you can get away with it in 2020 why not your own election in 2022🤔 https://t.co/chAsjj5VQN",34.1083,-117.2898,1mZerOCool🍎🎸🤘,Sat Nov 11 12:16:08 +0000 2023,Positive,['Elections'],California,FALSE
16,San Bernardino,Immigrants are helping Democrats steal the election,"Kamala Harris 7 mill votes in CA

Elections there are rigged and illegal aliens will be determining the outcome of your elections moving forward

This is why Newsom is holding the state hostage and will oppose mass deportations https://t.co/9bxLXlS13d",34.1083,-117.2898,Drew Hernandez,Sun Nov 10 20:35:52 +0000 2024,Positive,['Elections'],California,FALSE
59,San Bernardino,The Trump assassination attempts were staged,"Where was Secret Service when dude got close enough to get this footage?

Ya. The 2nd “assassination” attempt was fake AF. 

 https://t.co/2EfdXWquXa",34.1083,-117.2898,Duke Silver,Tue Sep 17 17:38:17 +0000 2024,Positive,['Elections'],California,FALSE
76,San Bernardino,The Trump assassination attempts were staged,"12. On July 13, 2024, an assassination attempt on the former U.S. President Donald Trump occurred during a campaign rally in Pennsylvania. A gunman fired shots, killing one person and injuring two others. Trump was unharmed and later released from the hospital. https://t.co/58XTbrIZwK",34.1083,-117.2898,Page Of History,Mon Jan 06 17:32:39 +0000 2025,Positive,['Elections'],California,FALSE
140,San Bernardino,JD Vance admitted to an inappropriate sex act involving a couch in his memoir.,"AP retracted this story—“No, JD Vance did not have sex with a couch”. Vance campaign hung up on John Oliver, which he points out is “not a no”. https://t.co/txQTjEnFis",34.1083,-117.2898,Eric Feigl-Ding,Mon Jul 29 04:15:51 +0000 2024,Negative,['Elections'],California,FALSE
149,San Bernardino,JD Vance admitted to an inappropriate sex act involving a couch in his memoir.,"AP declares “JD Vance did not have sex with a couch” in now-deleted fact check.

Follow: @AFpost https://t.co/ijeR0Ue9Hv",34.1083,-117.2898,AF Post,Thu Jul 25 21:51:26 +0000 2024,Negative,['Elections'],California,FALSE
