city,tweet,latitude,longitude,time created,stance
San Bernardino,"@PamKeithFL 2) Some multiple votes for a single voter registration had been reported end of October in Michigan. By at least 2 X accounts. Could be smoking guns.
https://t.co/1Q1mNOhoW0
@PamKeithFL @Michell33650674 @cbouzy  @Greg_Palast @marceelias @VABVOX @Kabs57 @cinderellaicius",34.12038,-117.30003,Wed Nov 20 17:55:03 +0000 2024,neutral
Bridgeport,"@DefiantLs they are so terrified of the consequences of the next 18 months.

national voter id

same day in person voting

and mass deportation of criminal immigrants

will ensure the Democrats don't hold a majority again for the next two decades.",41.17998,-73.19996,Wed Nov 20 17:52:01 +0000 2024,negative
Rochester,@HackingButLegal Elon is evil but democrats are fine with illegal immigrants voting on the state leave which would effect the election and would eventually turn into democrats calling for illegal immigrants voting in federal elections.,43.17043,-77.61995,Tue Nov 19 23:19:30 +0000 2024,positive
St. Paul,"@ScottPresler &gt; A Patriot refusing to allow #VoterFraud in #BucksCounty
nor in #Pennsylvania

@GovernorShapiro 
@SenFettermanPA 
@DaveMcCormickPA 
@RepDean 
@LaraLeaTrump 
@DonaldJTrumpJr 

we’ve had ENOUGH.

@EricHovde  graciously bowed out of a clearly Machine rigged election",44.94399,-93.08497,Tue Nov 19 22:51:26 +0000 2024,neutral
Billings,You don't need to live in Michigan to vote in Michigan because they do not check ID and have same day voter registration.,45.7883,-108.54,Tue Nov 19 12:22:28 +0000 2024,neutral
Great Falls,"@ScottPresler Why hasn't this woman(Diane Marseglia) from Bucks County, Pennsylvania,  been charged and removed  already for her illegal, blatant, voter fraud actions?",47.50029,-111.29999,Tue Nov 19 03:49:09 +0000 2024,positive
Missoula,"Ballots get rejected if a voter forgot to add the signature or if officials decide the signature didn’t match the one on file (from a driver's license or voter registration paperwork).
https://t.co/1mA14mzmrQ",46.87224,-113.99305,Tue Nov 19 03:17:13 +0000 2024,neutral
Minot,"@velvet61 @Michell33650674 Because it is not true! If this occurred during the election you leftists would have brought it up that day! Your pulling straws! Also, many graphs have shown that 15-20 million Democratic votes just up and disappeared between 2020 and 2024 which does not follow the normal",48.23249,-101.29582,Mon Nov 18 23:47:32 +0000 2024,neutral
Fargo,"@BriannaWu Joomi Kim, daughter of Korean immigrants, lifelong democrat, and PhD microbiologist went from hating Trump to voting for him. She created this documentary to explain why to friends 

https://t.co/JKwSZIPBLu",46.87723,-96.78943,Mon Nov 18 22:53:14 +0000 2024,neutral
Hilo,"Two days after the election Michigan Senate Democrats proposed Senate Bill 1068 which they say would improve voter registration accuracy, regulate election challengers' conduct, streamline absentee voting procedures, and enhance overall election integrity and transparency.",19.7,-155.09003,Mon Nov 18 22:45:25 +0000 2024,positive
Olympia,"@KariLake @authorfrankelso We all talk about voter fraud in Pennsylvania &amp; there is a problem there - they R still trying to get Bob Casey re-elected when there is recorded evidence he lost. However; I think that there may be a bigger problem in Arizona. They count votes forever, lose votes, find votes &amp; a",47.03804,-122.89943,Mon Nov 18 21:36:17 +0000 2024,positive
Spokane,"@elonmusk New York will not enforce the laws, and that’s half the battle. But hey they seem to like being lawless or they would not keep voting Democrat and wanting to be a illegal haven for immigrants",47.67,-117.41995,Mon Nov 18 20:10:40 +0000 2024,neutral
Vancouver,"@SH0TGUNSHIPPING @EggmansAsshole @KaoticLeftist So voting for the Democrats you do realize you're voting for genocide of the Palestinian people class Society settler colonialism capitalism and imperialism. 

Also they were wanting to build a border wall and they deport immigrants just like Republicans",45.6303,-122.63999,Mon Nov 18 19:47:32 +0000 2024,neutral
